NOME_NORM
Autostrada Milano-Venezia
Autostrada Valdastico
Via Abetone
Via Fiorenzo Costalunga
Via Gaetano Costantini
Via Cresole
Strada della Cresolella
Viale Cricoli
Galleria Francesco Crispi
Viale Francesco Crispi
Via Giovanni Cristofferi
Via Adolfo Crosara
Strada Cul de Ola
Via Curtatone
Via Salvo d'Acquisto
Via generale Carlo Alberto dalla Chiesa
Via Aurelio dall'Acqua
Via Antonio Dalla Pozza
Via Basilio dalla Scola
Strada dal Martello
Viale Dalmazia
Via Tomaso Dal Molin
Via Agostino Dal Pozzo
Strada Mario Dal Pra
Viale Jacopo Dal Verme
Viale Bartolomeo d'Alviano
Via Enrico Dandolo
Via Gabriele D'Annunzio
Viale Dante Alighieri
Via Leandro da Ponte
Via Luigi da Porto
Viale Massimo d'Azeglio
Via Edmondo De Amicis
Vicolo Benvenuto de Campesani
Via Niccolò De' Conti
Via Silvio De Faveri
Piazzale Alcide De Gasperi
Via Grazia Deledda
Via Natale Del Grande
Via Luca della Robbia
Via Carlo Del Prete
Via Giuseppe De Mori
Via Elisa De Muri
Via Enrico De Nicola
Via Antonio De' Pieri
Via Agostino Depretis
Contra' Giampietro De' Proti
Via Francesco De Sanctis
Via Giuseppe Dian
Viale Armando Diaz
Viale Dieci Giugno
Viale Dieci Martiri
Via Gerolamo Egidio di Velo
Via Divisione Acqui
Via Divisione Folgore
Viale Divisione Julia
Strada Domeniconi
Via Gaetano Donizetti
Via don Domenico Lora
Via don Giovanni Minzoni
Via don Ottorino Zanon
Contra' Do Rode
Via delle Due Ferrate
Piazza del Duomo
Piazzetta del Duomo
Stradella del Duomo
Via Giovanni Durando
Via dell'Economia
Via dell'Edilizia
Via Thomas Alva Edison
Via Luigi Einaudi
Via Elba
Via dell'Elettronica
Vialetto Francesco Elsi
Via Emanuele Filiberto di Savoia
Via Ralph Waldo Emerson
Via Giovanni Stefano Emiliani
Piazza delle Erbe
Viale Eretenio
Viale Europa
Via del Fabbro
Via Ramiro Fabiani
Via Luigi Maria Fabris
Via Giuseppe Facchinetti
Via Luigi Faccio
Via Giantommaso Faccioli
Via Alessandro Faedo
Via Giuseppe Faggin
Via Falcone e Borsellino
Via Falzarego
Via Gabriele Fantoni
Via Luigi Carlo Farini
Contra' della Fascina
Via Giovanni Antonio Fasolo
Via Giuseppe Ferrari
Via Enrico Fermi
Viale Arturo Ferrarin
Via Giuseppe Ferrazzi
Via Zaccaria Ferreri
Via Ferreto de Ferreti
Via Girolamo Festari
Via Filippo Filippi
Stradella dei Filippini
Via Fabio Filzi
Via Bortolo Eugenio Fina
Via Giovanni Fincato
Via Francesco Fioretti
Via Firenze
Via della Fisica
Viale Fiume
Corso Antonio Fogazzaro
Via Marcello Fogolino
Via Giuseppe Fontana
Contra' delle Fontanelle
Via Enrico Forlanini
Via Tomaso Formenton
Via Domenico Formica
Viale delle Fornaci
Contra' dei Forti di San Francesco
Stradella Forti in Corso Padova
Via Foscarina
Via Ugo Foscolo
Contra' della Fossetta
Stradella della Fossetta
Via Antonio Fracanzan
Piazzale Torquato Fraccon
Via Alberto Franchetti
Via Camillo Franco
Contra' Frasche del Gambero
Via dei Frassini
Via Fratelli Albanese
Viale Fratelli Bandiera
Via Fratelli Caldonazzo
Via Fratelli Coronaro
Via Fratelli Levis
Via Fratelli Rosselli
Via Fratelli Stuparich
Via Fratelli Wright
Via Gerolamo Frescobaldi
Largo Robert Fulton
Viale Arnaldo Fusinato
Viale Ambrogio Fusinieri
Via Gaeta
Via Giuseppe Gagliardotti
Via Luciano Gaia
Via Galileo Galilei
Via Benedetto Galizzi
Via Ettore Gallo
Via Luigi Galvani
Via Bartolomeo Gamba
Via Gandhi
Contra' Giuseppe Garibaldi
Via Garigliano
Stradella del Garofolino
Via Ottaviano Garzadori
Via Girolamo Gasparella
Via Giovanni Gasparoni
Contra' delle Gazzolle
Via Genova
Viale Vincenzo Gentiloni
Via Romolo Gessi
Via Gellio Ghellini
Via Clementina Ghiotto
Via Gigi Ghirotti
Via Giuseppe Giacosa
Via Gaetano Giardino
Via Valentino Giaretta
Via Loris Giazzon
Via Vincenzo Gioberti
Piazzetta Gioia
Via Giovanni Giolitti
Via Umberto Giordano
Viale Giorgione
Via Giotto
Via Giovanni da Pedemuro
Via Almerigo Girotto
Via Giuseppe Giulietti
Via Adolfo Giuriato
Viale Antonio Giuriolo
Piazzale Giuseppe Giusti
Largo Volfango Goethe
Strada di Gogna
Via Goito
Via Carlo Goldoni
Via Vincenzo Gonzati
Via Gorgona
Via Gorizia
Via Guido Gozzano
Via Gasparo Gozzi
Via Antonio Gramsci
Strada delle Grancare
Via Olinto Grandesso Silvestri
Via Achille Grandi
Via Granezza
Viale Grappa
Contra' delle Grazie
Via Alfredo Gregori
Via Domenico Groppino
Via Antonio Grotto
Piazzola Gualdi
Contra' del Guanto
Via Francesco Guicciardini
Via Giovanni Battista Imperiali
Viale dell'Industria
Viale dell'Ippodromo
Via Ischia
Stradella dell'Isola
Via Isole Egadi
Contra' Isonzo
Via Istria
Via dei Laghi
Via Lago di Albano
Via Lago di Alleghe
Via Lago di Auronzo
Via Lago di Bolsena
Via Lago di Bracciano
Via Lago di Braies
Via Lago di Caldaro
Via Lago di Carezza
Via Lago di Como
Via Lago di Costanza
Via Lago di Doberdò
Via Lago di Fogliano
Via Lago di Fondi
Via Lago del Fusaro
Via Lago di Garda
Via Lago di Ledro
Via Lago di Lesina
Via Lago di Levico
Via Lago di Lucerna
Via Lago di Lugano
Via Lago Maggiore
Via Lago di Massaciuccoli
Via Lago del Matese
Via Lago di Misurina
Via Lago di Molveno
Via Lago di Nemi
Via Lago d'Iseo
Via Lago d'Orta
Via Lago di Pergusa
Via Lago di Piediluco
Via Lago di Pusiano
Via Lago di Resia
Via Lago di Toblino
Via Lago di Tovel
Via Lago Trasimeno
Via Lago di Varano
Via Lago di Viverone
Via Lago di Zurigo
Via Alfonso Lamarmora
Via Lampedusa
Contra' Fedele Lampertico
Via Giovanni Lanza
Via Laura Lattes
Viale del Lavoro
Via Legione Antonini
Via Legione Gallieno
Viale Leonardo da Vinci
Via Ruggero Leoncavallo
Via Leone Leoni
Via Ognibene Leoniceno
Via Giacomo Leopardi
Le Scalette
Via Linosa
Via Paolo Lioy
Via Lipari
Via Livenza
Strada di Lobia
Contra' Lodi
Strada di Longara
Via Danilo Longhi
Via Lonigo
Via Antonio Lorenzoni
Stradella Loschi
Corte del Lotto
Via Luino
Via Lussemburgo
Via Lussino
Via Luigi Luzzatti
Via Gaetano Maccà
Via Carolina Maccagnini
Via Niccolò Machiavelli
Strada delle Maddalene
Via Vittoria Madurelli
Via Francesco Maffei
Via Giambattista Maganza
Via Ferdinando Magellano
Via Magenta
Strada Maglio di Laghetto
Strada Maglio di Lobia
Via Antonio Magrini
Via Giorgio Mainardi
Via Giambattista Malacarne
Via Alessandro Malaspina
Via Malta
Via Luigi Malvezzi
Via Goffredo Mameli
Via Luciano Manara
Contra' Daniele Manin
Via Ferdinando Maria Mantovani
Viale Alessandro Manzoni
Via Andrea Marani
Via Pietro Marasca
Via Luigi Federico Marchetti
Via Giuseppe Marchi
Via Marco Aurelio
Via Marco da Montegallo
Piazza Guglielmo Marconi
Viale Margherita
Via Camillo Mariani
Via Orazio Marinali
Via Alberto Mario
Via Cesare Marocco
Strada Marosticana
Via Marsala
Via Martiri di Belfiore
Viale Martiri delle Foibe
Via Giacomo Marzari
Via Pietro Mascagni
Via Angelo Masini
Via Umberto Masotto
Via Alessandro Massaria
Via Luigi Massignan
Via Antonio Mastini
Via Angelo Matteazzi
Piazza Giacomo Matteotti
Via Pellegrino Matteucci
Via Gerardo Maurisio
Viale Giuseppe Mazzini
Via della Meccanica
Via Medaglie d'Oro
Via Giacomo Medici
Strada del Megiaro
Via Gino Meldolesi
Via Melegnano
Via Melette
Via Vittorio Meneghello
Via Mentana
Viale del Mercato Nuovo
Via Domenico Meschinelli
Via Pietro Metastasio
Via Metauro
Via Giovanni Miani
Via Giovanni Miglioranza
Viale Milano
Via Milazzo
Via dei Mille
Via Mincio
Via Marco Minghetti
Contra' della Misericordia
Vialetto Federico Maria Mistrorigo
Corte dei Molini
Strada dei Molini
Via Carlo Mollino
Via Francesco Molon
Via Ernesto Teodoro Moneta
Piazzetta monsignor Giuseppe Lorenzon
Via monsignor Arnoldo Onisto
Via Bartolomeo Montagna
Via Eugenio Montale
Via Montanara
Contra' del Monte
Via Monte Asolone
Via Montebello della Battaglia
Via dei Montecchi
Via Monte Coni Zugna
Strada del Monte Crocetta
Strada vicinale del Monte Crocetta
Strada Monte Grande
Contra' Montello
Via Monte Nero
Via Monte Novegno
Via Monte Paù
Via Monte Pria Forà
Via Monterotondo
Via Monte Sabotino
Via Monte Santo
Via Monte Suello
Via Claudio Monteverdi
Via Monte Verena
Via Monte Vodice
Via Monte Zebio
Via Monte Zovetto
Via Vincenzo Monti
Via Monzambano
Via Mora
Via Paolo Morellato
Contra' delle Morette
Via Aldo Moro
Via Emilio Morosini
Via Bernardo Morsolin
Contra' Motton Pusterla
Contra' Motton San Lorenzo
Via Antonio Mozzi
Via Muggia
Via Giovanni Battista Mugna
Stradella dei Munari
Via Francesco Munarini
Cortile del Municipio
Via Murano
Contra' Mure Araceli
Contra' Mure Carmini
Contra' Mure Corpus Domini
Contra' Mure Pallamaio
Contra' Mure Porta Castello
Contra' Mure Porta Nova
Contra' Mure Porta Santa Lucia
Contra' Mure della Rocchetta
Contra' Mure San Domenico
Contra' Mure San Michele
Contra' Mure San Rocco
Contra' Muscheria
Via Giuseppe Musocco
Piazzale del Mutilato
Via Francesco Muttoni
Via Francesco Nado
Via dei Nani
Via Napoli
Piazzale Natale Baragia
Via Giulio Natta
Via Adriano Navarotto
Via Pier Eleonoro Negri
Contra' Nervesa della Battaglia
Via Pierluigi Nervi
Via Nicolò Vicentino
Stradone dei Nicolosi
Via Nikolajewka
Via Giovanni Nicotera
Via Giambattista Nievo
Piazza dei Nobel
Stradella dei Nodari
Via Nerina Noro
Piazzetta Nostro Tetto
Via Francesco Novello
Via Noventa Vicentina
Via Odorico da Pordenone
Via Giorgio Oliva
Via degli Ontani
Via dell'Opificio
Via Ubaldo Oppi
Contra' Oratorio dei Proti
Contra' Oratorio dei Servi
Stradella Orbi
Contra' Giacomo Orefice
Via dell'Oreficeria
Via Vittorio Emanuele Orlando
Viale Ortigara
Stradella dell'Ospedale
Strada dell'Ospedaletto
Via Antonio Federico Ozanam
Viale della Pace
Via Antonio Pacinotti
Strada Padana verso Padova
Strada Padana verso Verona
Corso Padova
Via Orazio Maria Pagani
Via Niccolò Paganini
Strada della Paglia
Via Giambattista Pagliarino
Via Bartolomeo Pajello
Via Luigi Palazzolo
Via Remnio Palemone
Via Palestro
Corso Andrea Palladio
Piazzetta Andrea Palladio
Via Natale Palli
Via Jacopo Palma il Giovane
Via Bartolomeo Panizza
Via Pantelleria
Via Achille Papa
Strada del Paradiso
Galleria Parco Città
Via Parenzo
Via Giuseppe Parini
Via Luigi Parisotto
Strada della Parolina
Via Giovanni Pascoli
Via Raffaele Pasi
Contra' Pasini
Via Francesco Pasqualigo
Via Pastrengo
Strada del Pasubio
Viale Guglielmo Pecori Giraldi
Contra' Pedemuro San Biagio
Via Arrigo Pedrollo
Via Marc'Antonio Pellegrini
Via Silvio Pellico
Strada della Pelosa
Via Guglielmo Pepe
Via Giovan Battista Pergolesi
Strada della Pergoletta
Stradella dei Perin
Via Vincenzo Periz
Via Silvio Perozzi
Via Giuseppe Perrucchetti
Contra' Pescaria
Contra' Pescherie Vecchie
Via Peschiera
Via Francesco Petrarca
Via Pforzheim
Contra' Piancoli
Stradella Piancoli
Strada Pian delle Maddalene
Contra' della Piarda
Contra' Piave
Contra' Piazza del Castello
Via Giambattista Piazzetta
Via Domenico Piccoli
Via Giovanni Picutti
Via Giovanni Pierluigi da Palestrina
Via Gianni Pieropan
Via Antonio Pigafetta
Via Ippolito Pindemonte
Via dei Pioppi
Via Cesare Piovene
Via Luigi Pirandello
Via Pirano
Via Pisino
Via Domenico Pittarini
Via Girolamo Pittoni
Via Barnaba Pizzardi
Via Antonio Pizzocaro
Strada dei Pizzolati
Via Girolamo Plona
Via Carlo Poerio
Via Pola
Strada di Polegge
Via Giacomo Poletto
Strada del Poligono
Vicolo Angelo Poliziano
Via Marco Polo
Via della Polveriera
Via Amilcare Ponchielli
Strada Ponte dei Carri
Strada Ponte del Bo
Contra' Ponte delle Bele
Strada Ponte del Marchese
Via Ponte del Quarelo
Via Giulio Pontedera
Contra' Ponte Furo
Piazza Pontelandolfo
Contra' Ponte Novo
Contra' Ponte San Michele
Contra' Ponte San Paolo
Strada Ponti di Debba
Via Ponza
Strada della Porciglia
Via Pordoi
Via Porretta
Contra' Porta Lupia
Stradella Porta Lupia
Contra' Porta Nova
Contra' Porta Padova
Contra' Porta Santa Croce
Contra' Porta Santa Lucia
Contra' Porti
Galleria Porti
Via Paolina Porto Godi
Contra' Porton del Luzzo
Via Portorose
Strada Postumia
Via Giorgio Pototschnig
Largo Neri Pozza
Contra' Pozzetto
Stradella Pozzetto
Galleria del Pozzo Rosso
Via Giacomo Prandina
Via Giovanni Prati
Via Predil
Via Marcello Prestinari
Via della Produttività
Via del Progresso
Via Giacomo Puccini
Contra' Pusterla
Via Giovanni Battista Quadri
Via del Quadrilatero
Contra' del Quartiere
Via Salvatore Quasimodo
Via Quattro Novembre
Strada di Quintarello
Via Lucia Quinto Rubini
Stradella della Racchetta
Via Raffaello Sanzio
Via Ragazzi del '99
Via Ragusa
Via Lucia Rancan
Via Giovanni Randaccio
Via Urbano Rattazzi
Via Alippio Regalazzo
Via Giambattista Remondini
Stradella Retrone
Vicolo cieco Retrone
Via Gaetano Rezzara
Contra' Riale
Via Bettino Ricasoli
Via Riello
Strada delle Risare
Via Francesco Rismondo
Viale Risorgimento Nazionale
Via Giuseppe Riva
Via Luigi Rizzo
Viale Riviera Berica
Strada dei Rocoli
Corte dei Roda
Viale Ferdinando Rodolfi
Via Rolle
Viale Roma
Via Romana Rompato
Via Antonio Rosmini
Via Guido Rossa
Via Arturo Rossato
Via Alessandro Rossi
Via Gioachino Rossini
Via della Rotonda
Stradella della Rotonda
Via Rovito
Via Rubicone
Viale Mariano Rumor
Via Sebastiano Rumor
Via Bartolomeo Ruspoli
Via Cornelia Sale
Via Elisa Salerno
Via Lorenzo Salin
Via Oreste Salomone
Via Gaetano Salvemini
Via Gerolamo Salvi
Via Alfonso Samoggia
Via Giuseppe Samonà
Via San Bastiano
Stradella San Benedetto
Piazza San Biagio
Contra' San Bortolo
Via San Cristoforo
Via San Desiderio
Contra' San Domenico
Via Antonio Sandri
Contra' San Faustino
Contra' San Francesco
Contra' San Francesco Vecchio
Contra' San Gaetano Thiene
Stradella San Giacomo
Stradella dei Sangiovanni
Strada San Giovanni
Piazzola San Giuseppe
Viale San Lazzaro
Galleria San Lorenzo
Piazza San Lorenzo
Contra' San Marcello
Stradella San Marcello
Contra' San Marco
Via San Martino
Via San Leonardo Murialdo
Piazzetta San Nicola
Stradella San Nicola
Contra' San Paolo
Piazzetta San Paolo
Contra' San Pietro
Piazza San Pietro
Stradella San Pietro
Strada San Pietro Intrigogna
Piazza San Pio decimo
Contra' San Rocco
Strada di San Rocco
Strada di San Romualdo
Stradella Sansigoli
Contra' San Silvestro
Contra' Santa Barbara
Stradella Santa Barbara
Via Santa Bertilla
Contra' Santa Caterina
Contra' Santa Chiara
Contra' Santa Corona
Stradella Santa Corona
Viale Sant'Agostino
Borgo Santa Lucia
Contra' Santa Maria Nova
Contra' Sant'Ambrogio
Contra' Sant'Andrea
Strada Sant'Antonino
Contra' Sant'Antonio
Via Antonio Sant'Elia
Contra' Santi Apostoli
Piazzetta Santi Apostoli
Stradella Santi Apostoli
Corso Santi Felice e Fortunato
Contra' San Tomaso
Contra' Santo Stefano
Piazzetta Santo Stefano
Stradella Santo Stefano
Via San Vito
Via Sardegna
Via fra' Paolo Sarpi
Strada dei Sartorello
Via Romeo Sartori
Via Marco Sasso
Via Federico Saudino
Via Nazario Sauro
Via Ignazio Savi
Strada di Saviabona
Via Pietro Scalcerle
Viale degli Scaligeri
Piazza Vincenzo Scamozzi
Via Sebastiano Scaramuzza
Via Carlo Scarpa
Via Uberto Scarpelli
Via Alessandro Schiavo
Via Schio
Viale della Scienza
Via Giuseppe Scolari
Via Francesco Orazio Scortegagna
Borgo Scroffa
Strada Scuole dell'Anconetta
Via Sebenico
Viale Quintino Sella
Via Gabriele Serbelloni
Viale della Serenissima
Stradella dei Servi
Strada di Settecà
Via Luigi Settembrini
Via Sicilia
Viale della Siderurgia
Piazza dei Signori
Via Rinaldo Simonetti
Via Giuseppe Sirtori
Via Sisemol
Via Nicolò Smereglo
Stradella Soccorso Soccorsetto
Via Gino Soldà
Viale del Sole
Viale del Sole (raccordo Nord-Est)
Viale del Sole (raccordo Nord-Ovest)
Via Solferino
Via Sorio
Via Spalato
Via Giovanni Speranza
Via Nicolò Spinelli
Via dello Stadio
Stradella dei Stalli
Via della Stanga
Piazzale della Stazione
Via Stelvio
Via Gaetana Sterni
Via Strasburgo
Via Stromboli
Via Luigi Sturzo
Via Umberto Tadiotto
Via Tagliamento
Via Giuseppe Tartini
Via Tarvisio
Via Torquato Tasso
Via Enrico Tazzoli
Stradella del Teatro Olimpico
Via Sebastiano Tecchio
Viale della Tecnica
Strada dei Templari
Piazza Giuseppe Terragni
Via Antonio Teso
Via Francesco Testa
Via Paolo Thaon di Revel
Via Thiene
Via Ticino
Via Giambattista Tiepolo
Via Timavo
Via Tintoretto
Piazzale Tiro a Segno
Galleria Tiziano
Via Tiziano Vecellio
Via Giuseppe Toaldo
Via Maffeo Todeschini
Via Giuseppe Toffoletto
Via Niccolò Tommaseo
Via Giuseppe Toniolo
Via Torcello
Viale Torino
Strada del Tormeno
Via Arnaldo Tornieri
Contra' dei Torretti
Via Evangelista Torricelli
Via Giuseppe Tortosa
Via Egidio Tosato
Via Enrico Toti
Via Bernardino Trebazio
Via Giovanni Battista Trecco
Viale Trento
Stradella Tre Scalini
Via Sebastiano Trevisan
Viale Trieste
Viale Gian Giorgio Trissino
Pista Ciclabile Trozzo delle Maddalene
Via Filippo Turati
Via Antonio Turcato
Via Antonio Turra
Via Ulpio Traiano
Via Antoniotto Usodimare
Via Giuseppe Vaccari
Via Giampaolo Vajenti
Via Valbella
Via Val Calcino
Via Valdagno
Raccordo Valdastico
Strada Val di Bugano
Via della Valdorsa
Via Valeggio sul Mincio
Strada di Vallarsa
Via Aulo Gellio Valle
Strada Valle di San Lorenzo
Via Valles
Stradella Valmarana
Contra' Valmerlara
Via Ezio Vanoni
Via Casimiro Varese
Via Vasco da Gama
Via vecchia Ferriera
Viale Venezia
Via Sebastiano Venier
Via Ventiquattro Maggio
Contra' Venti Settembre
Piazza Venti Settembre
Via Giambattista Verci
Viale Giuseppe Verdi
Viale Verona
Via Paolo Veronese
Via Giovanni Verrazano
Contra' Vescovado
Via Amerigo Vespucci
Via Carlo Vicentini del Giglio
Via Giambattista Vico
Via Francesco Vigna
Via Antonio Vigolo
Via Villa Glori
Via Bruno Viola
Via Gino Visonà
Via Vittime Civili di Guerra
Via Jacopo Vittorelli
Piazzale della Vittoria
Contra' Vittorio Veneto
Via Antonio Vivaldi
Via Agostino Vivorio
Via Giovanni Volpato
Via Alessandro Volta
Via Volturno
Via Vulcano
Via Ortensio Zago
Via Pietro Marco Zaguri
Via Francesco Zaltron
Via Livio Zambeccari
Via Elisa Zamboni Segato
Via Ludovico Lazzaro Zamenhof
Via Giuseppe Zampieri
Via Giuseppe Zanardelli
Via Gaetano Zancon
Via Riccardo Zandonai
Via Giulio Zanecchin
Contra' Giacomo Zanella
Via Giacomo Zanellato
Via Zara
Via Giuseppe Zardo
Via Giuliano Ziggiotti
Stradella degli Zocca
Via Michelangelo Zorzi
Via Emanuele Zuccato
Via Girolamo Zugliano
